"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"TLT",240328,-0.14,0.63,-5.22,-9.35,-4.36,"Mkt Perform","Weak","240322","+",3,-41.6,-0.13,"","","+","","",1,93.94,92.29,94.7,94.21,1.75,-1.21,0.41,98.67,92.02,,
"SHY",240328,-0.1,-0.01,-0.3,-0.37,-0.35,"Mkt Perform","Weak","240325","-",1,-65.69,-0.08,"","","-","","",50,81.8,81.47,81.84,82.05,0.32,-0.06,0.01,82.26,81.55,,
"TIP",240328,0.02,0.04,-0.21,-2.01,-0.09,"Mkt Perform","Weak","240322","+",1,-54.93,0.02,"","","+","","",1,107.15,106.15,107.45,107.46,1.01,-0.19,0.63,108.54,105.68,,
"IEF",240328,-0.13,0.14,-2.07,-3.86,-1.83,"Mkt Perform","Weak","240322","+",5,-52.55,-0.12,"","","+","","",1,94.48,93.45,94.79,94.56,1.05,-0.63,0.44,97.11,93.44,,
"LQD",240328,-0.06,0.27,-1.9,0.44,-1.54,"Mkt Perform","Weak","240325","+",1,-35.88,-0.06,"","","+","","",1,108.35,107.53,109.02,108.92,1.07,-0.06,1.21,110.91,106.86,,
"AGG",240328,-0.14,0.11,-1.52,-1.14,-1.34,"Mkt Perform","Weak","240325","+",1,-40.81,-0.14,"","","+","","",1,97.79,96.92,98.08,97.91,0.85,-0.35,0.59,99.57,96.75,,
"BND",240328,-0.12,0.11,-1.49,-0.98,-1.25,"Mkt Perform","Weak","240325","+",5,-40.61,-0.09,"","","+","","",1,72.52,71.9,72.75,72.62,0.85,-0.32,0.57,73.83,71.74,,
"BIV",240328,-0.11,0.09,-1.42,-1,-1.27,"Mkt Perform","Weak","240325","+",1,-30.98,-0.08,"","","+","","",1,75.27,74.58,75.5,75.43,0.92,-0.36,0.6,76.75,74.49,,
"BSV",240328,-0.12,0,-0.35,0.63,-0.42,"Mkt Perform","Weak","240325","+",5,-45.6,-0.09,"","","+","","",1,76.65,76.33,76.8,76.73,0.46,-0.09,0.21,77.28,76.34,,
"PST",240328,0.12,-0.18,5.48,9.64,4.86,"Mkt Perform","Weak","240325","-",1,-93.84,0.03,"","","-","","",1,23.2,23.25,23.32,23.9,-2.4,1.17,-1.28,23.83,21.95,,
"TBT",240328,-0.03,-1.2,10.79,13.35,9.11,"Mkt Perform","Strong","240326","-",1,-70.93,-0.01,"","","-","","",1,32.95,33.17,33.47,34.75,-4.02,1.85,-1.82,35.05,30.38,,
"TMV",240328,0.34,-1.66,16.33,18.01,13.19,"Mkt Perform","Strong","240326","-",1,-32.03,0.12,"","","-","","",1,33.38,33.79,34.2,36.11,-5.83,3.15,-2.54,36.69,29.69,,
"TYO",240328,0.29,-0.22,6.89,13.12,5.97,"Mkt Perform","Weak","240325","+",1,-94.54,0.04,"","","-","","",1,13.84,13.9,13.96,14.62,-4.31,0.87,-3.21,14.6,12.95,,
"TMF",240328,-0.29,1.72,-17.79,-35.14,-15.64,"Mkt Perform","Weak","240326","+",1,-44.68,-0.16,"","","+","","",1,53.42,50.84,54.68,53.98,4.09,-5.07,0.35,63.44,50.88,,
"UCO",240328,2.22,4.25,24.92,32.68,26.93,"Strong","Mkt Perform","240327","+",1,-65.89,0.72,"","","+","","",1,31.98,31.59,32.42,33.09,4.38,12.5,12.96,30.32,25.74,,
"SCO",240328,-2.15,-4.21,-22.47,-40.52,-23.7,"Weak","Mkt Perform","240327","-",1,-14.58,-0.35,"","","-","","",1,16.29,15.97,16.53,16.73,-4.44,-11.35,-11.84,20.73,17.5,,
"DBC",240328,1.21,1.17,3.68,-1.61,4.24,"Mkt Perform","Weak","240325","+",1,120.33,0.28,"","","-","","",1,22.59,22.69,22.72,23,0.94,3.63,4.48,22.4,21.7,,
"GLD",240328,1.17,2.56,7.31,12.57,7.48,"Mkt Perform","Weak","240325","+",1,0.19,2.37,"","","+","","",1,202.32,198.93,203.22,203.92,2.88,1.9,8.54,191.36,183.78,,
"DBA",240328,0.32,2.78,17.58,23.01,19.33,"Strong","Mkt Perform","240325","+",1,-30.95,0.08,"","","+","","",1,24.3,23.25,24.7,24.17,4.92,10.34,11.59,22.55,21.58,,
"USO",240328,1.72,2.82,17.36,22.91,18.3,"Strong","Mkt Perform","240328","+",1,-29.02,1.33,"","","+","","",1,76.82,76.14,77.54,78.78,3.29,7.48,7.48,74.74,66.85,,
"SLV",240328,0.84,0.62,3.23,5.88,4.22,"Mkt Perform","Weak","240325","+",1,59.8,0.19,"","","-","","",1,22.34,22.52,22.56,23.45,-1.43,2.11,9.5,21.5,20.11,,
"CMD",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",4669,0,0,"","","-","","",4641,0,0,0,0,9999,9999,9999,0,0,,
"UNG",240328,2.09,-3.04,185.02,112.32,188.95,"Mkt Perform","Strong","240320","+",1,-52.68,0.3,"","","-","","",1,14.25,14.98,14.5,15.77,-3.17,-9.18,-11.43,19.64,14.56,,
"SLX",240328,-0.17,1.91,-2.53,16.03,-1.72,"Mkt Perform","Weak","240318","+",1,-70.5,-0.13,"","","+","","",1,71.73,69.25,72.66,71.96,4.81,2.28,2.64,71.73,67.65,,
"ZSL",240328,-1.64,-0.95,-6.31,-15.3,-8.06,"Weak","Mkt Perform","240328","-",1,-25.73,-0.28,"","","+","","",1,17,15.62,17.32,16.98,3.65,-4.06,-16.55,21.39,18.68,,
"AGQ",240328,1.49,0.85,3.29,-2.66,5.12,"Mkt Perform","Weak","240328","+",1,-1.92,0.42,"","","-","","",1,27.71,28.25,28.22,30.62,-3.71,3.63,18.51,25.99,22.79,,
"GLL",240328,-2.48,-4.86,-11.09,-13.4,-11.36,"Weak","Mkt Perform","240327","-",1,63.6,-0.59,"","","-","","",1,23.93,23.68,24.16,24.88,-5.29,-3.25,-14.81,28.91,26.6,,
"UGL",240328,2.48,5.12,12.6,15.35,13,"Strong","Mkt Perform","240328","+",1,97.07,1.74,"","","+","","",1,69.92,67.8,70.53,71.2,5.57,3.4,17.09,63.38,58.2,,
"UGA",240328,1.61,0.16,17.26,18.91,16.99,"Mkt Perform","Strong","240319","+",1,-53.33,1.13,"","","-","","",1,69.45,70.07,70.14,71.79,0.84,8.24,6.39,68.99,60.72,,
"UHN",240328,0,9999,9999,9999,9999,"Mkt Perform","Weak","221227","-",2119,0,0,"","","-","","",2090,0,0,0,0,9999,9999,9999,0,0,,
"JJC",240328,0,9999,9999,-100,9999,"Mkt Perform","Weak","230710","-",1179,0,0,"","","-","","",1143,0,0,0,0,9999,9999,9999,0,0,,
"FXB",240328,-0.15,0.26,-0.86,2.57,-1.01,"Mkt Perform","Weak","240325","+",1,-18.95,-0.18,"","","-","","",26,121.45,121.14,121.73,123.07,-0.8,-1.59,-0.02,122.54,120.35,,
"FXE",240328,-0.32,-0.13,-2.48,-0.38,-2.26,"Mkt Perform","Weak","240325","-",1,-61.43,-0.32,"","","-","","",1,99.91,99.81,100.06,100.91,-0.84,-1.25,-0.13,100.34,98.83,,
"UDN",240328,-0.14,0.04,-2.36,-4.08,-2.36,"Mkt Perform","Weak","240325","-",12,-77.43,-0.02,"","","-","","",26,17.98,17.98,18.02,18.19,-0.91,-1.53,-0.08,18.18,17.84,,
"UUP",240328,0.23,0.13,4.87,1.6,4.67,"Mkt Perform","Weak","240322","+",1,-76.14,0.07,"","","+","","",1,28.28,27.98,28.32,28.32,1.34,2.07,0.95,28.26,27.66,,
"YCS",240328,0.23,0.11,18.27,46.32,18.76,"Mkt Perform","Strong","240325","-",5,-9.58,0.19,"","","+","","",1,81.4,78.93,82,82.03,3.61,6.66,2.98,80.38,74.38,,
"EUO",240328,0.59,0.29,6.51,6.4,6,"Mkt Perform","Weak","240322","+",1,-26.92,0.18,"","","+","","",1,30.72,30.14,30.78,30.82,2,3.03,0.65,31.22,30.2,,
"YCL",240328,-0.37,-0.2,-14.61,-29.33,-15.01,"Mkt Perform","Weak","240325","-",1,-38.1,-0.09,"","","-","","",26,23.37,23.28,23.46,24.2,-3.33,-6.21,-2.57,25.49,23.68,,
"ULE",240328,-0.38,-0.04,-4.4,-1.05,-4.1,"Mkt Perform","Weak","240325","-",1,-94.89,-0.04,"","","-","","",3,11.37,11.34,11.39,11.6,-1.63,-2.53,-0.18,11.5,11.14,,
"BZF",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"CYB",240328,0,9999,9999,-100,9999,"Mkt Perform","Weak","231030","-",709,0,0,"","","-","","",700,0,0,0,0,9999,9999,9999,0,0,,
"ICN",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"SSO",240328,0.05,0.65,18.68,60.69,19.28,"Mkt Perform","Strong","240325","+",1,-65.47,0.03,"","","+","","",26,76.47,74.38,77.58,77.94,4.87,4.53,5.43,73.98,66.89,,
"QLD",240328,-0.43,-1.12,14.17,85.62,15.16,"Mkt Perform","Strong","240325","-",5,-43.76,-0.38,"","","+","","",26,86.71,83.6,88.52,89.74,4.64,2.05,1.72,86.73,78.47,,
"DDM",240328,0.01,1.42,9.74,41,9.85,"Mkt Perform","Strong","240322","+",1,-46.69,0.01,"","","+","","",26,85.66,83.06,87,87.67,4.91,4.74,3.5,85.38,80.04,,
"TNA",240328,1.08,7.4,3.79,40.03,8.9,"Mkt Perform","Weak","240320","+",1,-39.15,0.46,"","","+","","",1,40.49,36.71,42.53,42.25,12.17,4.88,9.31,40.69,32.66,,
"UWM",240328,0.7,4.97,4.04,32.4,7.35,"Mkt Perform","Weak","240320","+",1,-26.13,0.28,"","","+","","",1,39.23,36.78,40.56,40.35,8.14,3.33,6.34,39.29,33.75,,
"UPRO",240328,0.04,0.87,27.89,94.01,29.01,"Mkt Perform","Strong","240325","+",1,-66.8,0.03,"","","+","","",26,69.13,66.25,70.61,71.16,7.42,6.77,8.75,65.91,56.87,,
"URTY",240328,1.11,7.33,3.68,39.82,9.06,"Mkt Perform","Weak","240320","+",1,-29.92,0.55,"","","+","","",1,47.75,43.24,50.1,49.76,12.14,4.95,9.28,47.86,38.45,,
"TQQQ",240328,-0.5,-1.58,19.9,135,21.58,"Mkt Perform","Strong","240325","-",5,-57.26,-0.31,"","","+","","",26,60.71,57.68,62.63,63.95,6.72,2.63,2.12,61.22,52.91,,
"UMDD",240328,1.29,5.75,23.09,61.91,26.84,"Strong","Mkt Perform","240327","+",1,113.32,0.36,"","","+","","",1,26.9,24.79,27.98,27.56,12.53,9.17,16.41,24.36,20.51,,
"UDOW",240328,-0.11,1.9,14.01,60.54,14.23,"Strong","Mkt Perform","240327","+",1,-58.48,-0.09,"","","+","","",26,83.13,79.29,85.07,86.12,7.4,7.07,5.21,82.78,75.18,,
"XPP",240328,2.56,3.31,-2.77,-40.92,-4.18,"Mkt Perform","Weak","240325","+",1,-53.43,0.33,"","","-","","",1,12.62,12.66,12.84,13.33,0.3,4.52,4.37,13.65,10.68,,
"EET",240328,0.76,0.94,1.05,2.35,1.02,"Mkt Perform","Weak","240325","+",1,-8.41,0.39,"","","-","","",26,50.65,50.47,50.99,52.34,0.64,0.12,4.07,51,46.08,,
"EFO",240328,0.01,0.8,10.05,22.12,10.26,"Mkt Perform","Strong","240311","+",1,-39.59,0,"","","+","","",1,47.03,45.7,47.16,47.16,2.31,1.15,6.33,44.64,40.93,,
"DZK",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"EDC",240328,0.98,1.49,-0.02,-0.67,-0.28,"Mkt Perform","Weak","240325","+",1,-68.04,0.29,"","","-","","",26,29.6,29,30.06,31.12,0.45,-0.28,5.62,30.74,25.98,,
"INDL",240328,1.46,3.99,7.32,60.46,8.54,"Mkt Perform","Weak","240325","+",1,-30.82,0.89,"","","+","","",1,60.4,58.2,60.76,60.43,3.32,-3.71,0.39,63.27,58.5,,
