"RYI","161012","12-Oct-16","9.42","9.54","9.23","9.45","106615","0.64","0.06","44.46","19.6","0.2","2007/07/06","13.5","0.6",\N,\N,\N,\N,\N
"WGS","240403","03-Apr-24","9.26","9.66","9.105","9.45","77153","1.29","0.12","","","","","","","253002",\N,\N,\N,\N
"ALCYU","240403","03-Apr-24","10.6362","10.6362","10.6362","10.64","100","0.00","0.00","","","","","","","1534",\N,\N,\N,\N
"CRGO","240403","03-Apr-24","2.51","2.59","2.48","2.55","3978","0.39","0.01","","","","","","","16549",\N,\N,\N,\N
"DIBS","240403","03-Apr-24","5.94","6.015","5.9","5.95","139662","0.00","0.00","","","","","","","85339",\N,\N,\N,\N
"PHYT","240403","03-Apr-24","11.18","11.18","11.18","11.18","1","0.45","0.05","","","","","","","32451",\N,\N,\N,\N
"HNST","240403","03-Apr-24","3.75","3.82","3.565","3.77","1214114","0.27","0.01","0.05","0.006","0.55","2007/07/27","2.1","15","867443",\N,\N,\N,\N
"RMGCU","240403","03-Apr-24","9.94","9.94","9.94","9.94","1","0.00","0.00","","","","","","","579",\N,\N,\N,\N
"MYNA","240403","03-Apr-24","4.54","4.7","4.51","4.70","4487","6.82","0.30","","","","","","","3894",\N,\N,\N,\N
"AFAR","240403","03-Apr-24","11.09","11.09","11.07","11.09","2","0.00","0.00","","","","","","","15751",\N,\N,\N,\N
"ROCL","240403","03-Apr-24","10.84","10.84","10.84","10.84","2","0.00","0.00","","","","","","","10359",\N,\N,\N,\N
"CXAI","240403","03-Apr-24","4.75","5.61","4.73","4.94","30724828","10.27","0.46","","","","","","","8136260",\N,\N,\N,\N
"VOXR","240403","03-Apr-24","2.09","2.12","2.08","2.10","87336","-0.99","-0.02","0.006","0.005","1.55","2007/08/29","11.7","6.1","50443",\N,\N,\N,\N
"HYPR","240403","03-Apr-24","0.97","1.03","0.95","1.00","67590","3.09","0.03","7.16","2.01","0.33","2001/01/01","15","1.3","68462",\N,\N,\N,\N
"ALSA","240403","03-Apr-24","11.33","11.33","11.33","11.33","184","0.00","0.00","","","","","","","52796",\N,\N,\N,\N
"KRNL","240403","03-Apr-24","10.76","10.76","10.76","10.76","62","-0.28","-0.03","","","","","","","2884",\N,\N,\N,\N
"BCSA","240403","03-Apr-24","11.11","11.11","11.08","11.10","1478","0.14","0.02","","","","","","","6818",\N,\N,\N,\N
"HOLO","240403","03-Apr-24","3.1","4.06","3.03","3.88","14301913","21.63","0.69","","","","","","","8801396",\N,\N,\N,\N
"CDRO","240403","03-Apr-24","7.015","8.09","7.015","7.66","164469","9.12","0.64","","","","","","","32405",\N,\N,\N,\N
"RDW","240403","03-Apr-24","4.26","4.44","4.21","4.36","141981","1.87","0.08","","","","","","","230995",\N,\N,\N,\N
"FTII","240403","03-Apr-24","11.13","11.14","11.13","11.14","2201","0.00","0.00","","","","","","","26297",\N,\N,\N,\N
"HYW","240403","03-Apr-24","1.27","1.4","1.27","1.29","1027","3.20","0.04","","","","","","","20948",\N,\N,\N,\N
"USGO","240403","03-Apr-24","6.7","7.08","6.579","7.08","12626","5.83","0.39","","","","","","","5549",\N,\N,\N,\N
"STBX","240403","03-Apr-24","0.2234","0.24","0.2","0.21","216414","-5.16","-0.01","0.1","0.0001","1.5","2007/07/20","1.2","131.5","237929",\N,\N,\N,\N
"ANTX","240403","03-Apr-24","3.41","3.49","3.27","3.37","253732","-0.88","-0.03","","","","","","","414235",\N,\N,\N,\N
"EVE","240403","03-Apr-24","10.94","11.07","10.94","10.95","2433","0.00","0.00","","","","","","","38633",\N,\N,\N,\N
"RGTI","240403","03-Apr-24","1.38","1.43","1.35","1.40","4651920","2.19","0.03","","","","","","","6597001",\N,\N,\N,\N
"WISH","240403","03-Apr-24","5.55","5.75","5.535","5.71","883059","2.88","0.16","","","","","","","982175",\N,\N,\N,\N
"ARQQ","240403","03-Apr-24","0.66","0.66","0.531","0.55","3014643","-11.77","-0.07","11.86","8.72","0.62","2007/07/24","11.8","3.5","955800",\N,\N,\N,\N
"SATL","240403","03-Apr-24","1.56","1.59","1.53","1.55","19194","-2.52","-0.04","","","","","","","40432",\N,\N,\N,\N
"LBPH","240403","03-Apr-24","19.66","19.78","17.81","18.12","464459","-8.39","-1.66","","","","","","","666917",\N,\N,\N,\N
"SHLT","240403","03-Apr-24","6.05","6.36","5.85","6.20","5351","-1.59","-0.10","","","","","","","3843",\N,\N,\N,\N
"SBXC","240403","03-Apr-24","10.5","10.5","10.48","10.48","10594","0.00","0.00","","","","","","","25374",\N,\N,\N,\N
"BGXX","240403","03-Apr-24","0.2603","0.2895","0.2475","0.25","1449015","-3.57","-0.01","","","","","","","2032213",\N,\N,\N,\N
"PUCK","240403","03-Apr-24","10.9","11","10.9","11.00","1024","1.85","0.20","","","","","","","508",\N,\N,\N,\N
"NBTX","240403","03-Apr-24","6.29","6.365","6.01","6.13","226257","0.49","0.03","","","","","","","14655",\N,\N,\N,\N
"HSHP","240403","03-Apr-24","7.64","7.9","7.64","7.83","94767","5.24","0.39","","","","","","","94618",\N,\N,\N,\N
"BRKH","240403","03-Apr-24","11.03","11.03","11.02","11.02","3530","0.09","0.01","","","","","","","2370",\N,\N,\N,\N
"DCFC","240403","03-Apr-24","7.72","7.94","7.05","7.26","51409","-7.46","-0.58","","","","","","","4363681",\N,\N,\N,\N
"BIRD","240403","03-Apr-24","0.6399","0.653","0.62","0.64","497852","0.81","0.01","","","","","","","846333",\N,\N,\N,\N
"SSBK","240403","03-Apr-24","25.39","25.39","24.47","24.80","11346","-1.16","-0.29","","","","","","","12723",\N,\N,\N,\N
"IPSC","240403","03-Apr-24","3.73","3.86","3.6","3.70","92414","-2.37","-0.09","","","","","","","204462",\N,\N,\N,\N
"THRD","240403","03-Apr-24","8.65","9.31","8.64","9.31","92183","6.52","0.57","33.49","26.75","0.8","2007/08/06","13.4","2.8","106843",\N,\N,\N,\N
"TGAN","240403","03-Apr-24","4.91","4.91","4.9","4.90","97971","-0.20","-0.01","","","","","","","444916",\N,\N,\N,\N
"OUST","240403","03-Apr-24","9.56","10.4","9.46","10.00","2921399","0.30","0.03","","","","","","","1051668",\N,\N,\N,\N
"STHO","240403","03-Apr-24","12.36","12.76","12.35","12.70","28268","1.93","0.24","","","","","","","72601",\N,\N,\N,\N
