"equityticker","50dma","200dma","macd","prevdate","date","3dma","7dma","macdprev","macdchange","dmadiff","3dmaweekly","7dmaweekly","50dmaweekly","200dmaweekly","macdweekly","macdprevweekly","macdchangeweekly","dmadiffweekly","dmadiffprev","dmadiffweeklyprev","macdweeklyprev","dma3prev","dma3weeklyprev","momo","momoweekly","3dmamonthly","7dmamonthly","dma3monthlyprev","macdmonthly","macdmonthlyprev","dmadiffmonthly","50dmamonthly","dmadiffmonthlyprev","momomonthly","13dma","13dmaweekly","13dmamonthly","dma13prev","dma13weeklyprev","dma13monthlyprev","dma3prevprev","dma3weeklyprevprev","score","scoreprev","scoredate","dyna3dma","dyna3dmaweekly","dyna3dmaprev","dyna3dmaweeklyprev","scorediff","scorelast"
"XOM",106.86,112.98,0.468,"","240327",114.208,113.389,0.63,,0.82,112.982,109.595,106.862,80.315,3.267,,,3.39,0.86,2.98,2.93,113.98,111.05,,11.5,107.17,87.02,102.44,-3.6,-4.98,-200.14,84.75,-203.09,27.71,107.33,107.331,,107.27,106.19,,113.88,108.5,75.5,75.5,"240327",114.05,113.95,114.08,112.75,-34.5,95
"BHP",59.6,56.48,0.349,"","240327",56.742,56.85,0.38,,-0.11,56.475,57.784,59.596,61.579,-1.569,,,-1.31,-0.04,-1.47,-1.68,56.85,56.67,,6.61,58.43,47.98,62.29,-0.46,0.01,-128.44,62.08,-128.2,-4700,58.96,58.956,,58.93,59.33,,57.3,57.1,24.5,17,"240327",56.66,56.82,56.69,56.58,-32,24.5
"PBR",14.63,14.64,0.006,"","240327",14.79,14.77,-0.03,,0.02,14.64,15.38,14.63,11.88,-0.683,,,-0.74,-0.01,-0.94,-0.63,14.79,14.67,,-8.41,16.1,8.78,16.52,0.51,0.83,-33.46,17.12,-31.79,-38.55,15.68,15.68,,15.69,15.85,,14.75,15.33,24.5,39.5,"240327",14.71,14.7,14.81,14.64,-7,49
"CHL",36.56,97.35,14.21,"","240327",134.06,119.82,14.21,,14.24,97.35,73.63,36.56,44.32,21.66,,,23.72,14.24,23.72,21.66,134.06,97.35,,0,97.35,65.17,0,20.43,20.43,97.35,51.59,97.35,0,55.84,55.84,,55.84,55.84,,134.06,97.35,26,26,"240327",-1,-1,-1,-1,0,36
"GE",121.1,173.49,-0.572,"","240327",174.49,173.88,-0.55,,0.61,173.49,164.33,121.1,93.81,7.863,,,9.16,1.03,10.37,8.01,174.06,170.67,,-1.84,155.25,26.35,138.98,14.57,10.96,-261.69,21.52,-242.87,32.94,153.71,153.71,,153.3,149.92,,175.09,165.17,87.5,58,"240327",175.47,176,173.53,173.06,-12,65.5
"RDS-B",56.88,64.83,0.313,"","240327",66.1,65.47,0.31,,0.63,64.83,63.5,56.88,55.34,1.302,,,1.33,0.63,1.33,1.3,66.1,64.83,,0.15,65.85,63.99,0,3.25,3.25,65.85,65.55,65.85,0,61.77,61.77,,61.77,61.77,,66.1,64.83,36,36,"240327",-1,-1,-1,-1,0,10
"PBR-A",9.03,10.14,-0.22,"","240327",9.55,9.77,-0.22,,-0.22,10.14,9.94,9.03,8.82,0.217,,,0.2,-0.22,0.2,0.22,9.55,10.14,,-1.36,9.76,8.49,0,0.55,0.55,9.76,16.34,9.76,0,9.66,9.66,,9.66,9.66,,9.55,10.14,41,41,"240327",-1,-1,-1,-1,0,15
"BP",36.52,37.54,0.016,"","240327",37.718,37.619,0.13,,0.1,37.538,36.752,36.522,29.956,0.607,,,0.79,0.16,0.67,0.59,37.88,37.23,,2.88,35.81,41.18,35.16,-0.63,-0.82,-69.68,39.89,-71.63,23.17,36.37,36.372,,36.41,36.21,,37.93,36.51,56,75.5,"240327",37.41,37.48,37.8,37.7,-19.5,95
"MSFT",355.36,422.4,0.496,"","240327",422.182,422.639,1.16,,-0.46,422.398,415.815,355.359,282.673,1.11,,,6.58,1.58,3.39,1.92,424.42,417.13,,-42.19,411.09,45.21,395.75,20.67,19.65,-776.17,33.39,-756.78,5.19,406.34,406.343,,406.29,403.73,,426.99,412.71,53,53,"240327",421.91,424.27,422.05,424.63,0,65.5
"PTR",47.98,43.88,0.096,"","240327",43.8758,43.8828,0.1,,-0.01,43.8758,44.4111,47.979,45.54,-0.469,,,-0.54,-0.01,-0.54,-0.47,43.88,43.88,,0.21,44.66,117.4,0,0.08,0.08,44.66,116.95,44.66,0,45.19,45.1918,,45.19,45.19,,43.88,43.88,56,56,"240327",-1,-1,-1,-1,-7.5,51
